date,energy_kwh,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),global_tilted_irradiance (W/m²),terrestrial_radiation (W/m²),weather_code (wmo code),wind_speed_10m (km/h),visibility (m),is_day (),radiation_sum
2025-06-01,11.616999999999999,17.342708333333334,66.98958333333333,10.829166666666666,15.424999999999999,183.28125,61.478125,121.80312500000001,101.5125,183.28125,473.409375,2.3125,15.214583333333332,22087.083333333332,0.6770833333333334,17595.0
2025-06-02,11.99,15.541666666666666,66.33333333333333,8.828125,13.902083333333332,170.05208333333334,60.37395833333333,109.67812500000001,107.278125,170.05208333333334,474.503125,8.072916666666666,9.53125,23155.625,0.6770833333333334,16325.0
2025-06-03,10.68,18.037499999999998,51.916666666666664,6.891666666666667,15.332291666666668,297.7916666666667,193.2302083333333,104.56145833333333,274.46770833333335,297.7916666666667,475.5447916666667,1.78125,15.711458333333333,35364.375,0.6770833333333334,28588.0
2025-06-04,10.931000000000001,16.416666666666668,68.63541666666667,10.174999999999999,14.639583333333334,251.02083333333334,138.21875,112.80208333333333,211.84270833333335,251.02083333333334,476.53020833333335,10.15625,14.254166666666668,25447.291666666668,0.6770833333333334,24098.0
2025-06-05,5.848,15.501041666666666,79.79166666666667,11.840625000000001,13.354166666666666,117.11458333333333,23.133333333333336,93.98125,38.251041666666666,117.11458333333333,477.4614583333334,20.291666666666668,18.79375,17799.583333333332,0.6770833333333334,11243.0
2025-06-06,9.81,15.85,74.875,11.24375,13.705208333333333,224.03125,92.17708333333333,131.85416666666666,140.875,224.03125,478.328125,2.5833333333333335,17.927083333333332,19387.291666666668,0.6770833333333334,21507.0
2025-06-07,8.091,14.694791666666667,81.71875,11.511458333333332,12.670833333333334,145.25,40.475,104.77499999999999,65.55312500000001,145.23958333333334,479.1427083333333,27.510416666666668,17.172916666666666,16089.375,0.6770833333333334,13944.0
2025-06-08,13.122,14.248958333333334,68.1875,7.864583333333333,11.430208333333333,270.6770833333333,170.31770833333334,100.359375,236.46875,270.65625,479.8958333333333,3.4270833333333335,17.997916666666665,22075.833333333332,0.6770833333333334,25985.0
2025-06-09,11.744,15.105208333333332,70.16666666666667,9.416666666666666,13.422916666666666,127.33333333333333,28.094791666666666,99.23854166666666,51.48229166666667,127.3125,480.58958333333334,6.083333333333333,10.65,20022.916666666668,0.6770833333333334,12224.0
2025-06-10,6.315,16.305208333333333,75.21875,11.795833333333334,14.987499999999999,151.13541666666666,61.546875,89.58854166666667,104.25833333333333,151.10416666666666,481.21875,4.71875,13.390625,20937.916666666668,0.6770833333333334,14509.0
2025-06-11,16.917,17.705208333333335,57.572916666666664,8.257291666666667,16.098958333333332,341.6041666666667,237.13750000000002,104.46666666666665,366.1354166666667,341.5625,481.7864583333333,0.7291666666666666,10.9375,30818.333333333332,0.6770833333333334,32794.0
2025-06-12,15.722,22.944791666666664,55.0625,12.970833333333333,22.510416666666668,325.2083333333333,212.33020833333333,112.878125,335.246875,325.1666666666667,482.2947916666667,1.59375,12.237499999999999,35538.125,0.6875,31220.0
2025-06-13,15.072,24.45104166666667,68.3125,17.815625,25.95625,299.8229166666667,180.89270833333333,118.93020833333333,277.265625,299.78125,482.73020833333334,6.34375,11.216666666666667,22319.791666666668,0.6875,28783.0
